"x","y","th","k","s"
48.2392,24.4757,2.59279,0.000266982,50.8369
48.3453,24.4108,2.59283,0.000274791,50.9612
48.4508,24.3463,2.59286,0.000279195,51.0849
48.5556,24.2822,2.59289,0.000279396,51.2078
48.6596,24.2187,2.59293,0.000274432,51.3296
48.7626,24.1557,2.59296,0.000263145,51.4504
48.8646,24.0934,2.59299,0.000244159,51.5699
48.9654,24.0318,2.59301,0.000215856,51.6881
49.065,23.9709,2.59303,0.000176361,51.8048
49.1632,23.9108,2.59305,0.000123547,51.9199
49.2601,23.8516,2.59305,5.5252e-05,52.0335
49.3557,23.7932,2.59305,-2.94635e-05,52.1455
49.4498,23.7357,2.59304,-0.000130106,52.2558
49.5426,23.679,2.59301,-0.000245602,52.3645
49.634,23.6232,2.59297,-0.000374377,52.4716
49.724,23.5681,2.59292,-0.00051426,52.5772
49.8128,23.5138,2.59285,-0.000662421,52.6812
49.9005,23.4603,2.59276,-0.000815345,52.7839
49.9869,23.4074,2.59267,-0.00096884,52.8853
50.0724,23.3551,2.59256,-0.00111811,52.9855
50.1569,23.3034,2.59243,-0.00125785,53.0846
50.2406,23.2522,2.5923,-0.00138245,53.1827
50.3236,23.2014,2.59215,-0.00148616,53.28
50.4059,23.151,2.592,-0.00156335,53.3765
50.4878,23.1008,2.59185,-0.00160876,53.4726
50.5693,23.0509,2.59169,-0.00161776,53.5681
50.6505,23.0011,2.59154,-0.0015865,53.6634
50.7316,22.9514,2.5914,-0.0015121,53.7585
50.8127,22.9016,2.59127,-0.00139273,53.8537
50.8939,22.8518,2.59115,-0.0012276,53.9489
50.9752,22.8019,2.59105,-0.00101704,54.0443
51.0569,22.7518,2.59098,-0.000764669,54.1401
51.1389,22.7014,2.59093,-0.000478412,54.2364
51.2214,22.6508,2.59092,-0.000167044,54.3332
51.3044,22.5998,2.59093,0.000161019,54.4306
51.388,22.5484,2.59098,0.000497941,54.5287
51.4724,22.4967,2.59106,0.000836603,54.6277
51.5574,22.4445,2.59118,0.00117068,54.7274
51.6432,22.3918,2.59133,0.00149468,54.8281
51.7298,22.3387,2.59152,0.00180391,54.9297
51.8172,22.2851,2.59173,0.00209446,55.0323
51.9055,22.231,2.59198,0.00236315,55.1358
51.9947,22.1763,2.59225,0.00260739,55.2405
52.0848,22.1212,2.59255,0.00282517,55.3461
52.1758,22.0655,2.59288,0.00301492,55.4528
52.2678,22.0093,2.59322,0.00317543,55.5605
52.3606,21.9526,2.59358,0.00330577,55.6693
52.4543,21.8954,2.59396,0.0034052,55.7791
52.5489,21.8377,2.59434,0.0034731,55.8899
52.6444,21.7795,2.59474,0.00350889,56.0017
52.7407,21.7209,2.59513,0.00351202,56.1144
52.8378,21.6618,2.59553,0.00348294,56.2281
52.9356,21.6024,2.59592,0.00342483,56.3426
53.0342,21.5425,2.59631,0.00334163,56.4579
53.1334,21.4823,2.59669,0.00323683,56.574
53.2333,21.4218,2.59705,0.00311346,56.6907
53.3337,21.361,2.5974,0.00297411,56.8081
53.4346,21.2999,2.59774,0.002821,56.926
53.5359,21.2387,2.59805,0.00265598,57.0445
53.6376,21.1772,2.59835,0.00248061,57.1633
